"ID","NAME","LONG","LAT","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
19303,"PARKER-RESERVOIR",-114.166,34.283,225,11.9,14.8,17.8,21.9,26.8,32.1,35.2,34.3,30.8,24.6,17.2,12.2
19335,"IRON-MOUNTAIN",-115.133,34.133,281,12.2,14.8,17.5,21.6,26.4,31.7,34.9,33.8,30,23.9,17,12.3
19343,"EAGLE-MOUNTAIN",-115.45,33.8,297,12.6,15.2,17.7,21.6,26.1,31.4,34.2,33.4,30,24.2,17.5,13
19347,"MITCHELL-CAVERNS",-115.533,34.933,1326,7.8,9.4,10.9,14.8,19.6,25.1,28.2,27,23.6,18.4,12,8.1
19348,"MOUNTAIN-PASS",-115.533,35.466,1442,3.9,5.8,8.1,11.9,16.7,22.6,26.3,25,21.1,15,8.7,4.2
19349,"EL-CENTRO-2-SSW",-115.566,32.766,-9,12.6,14.9,17.2,20.3,24.7,29.5,32.9,32.7,29.3,23.6,16.9,12.5
19352,"HAYFIELD-PUMPING-PLANT",-115.633,33.7,418,11.3,13.6,15.6,19.1,23.4,28.3,32,31.2,27.6,21.9,15.6,11.5
19368,"MECCA-FIRE-STATION",-116.066,33.566,55,12.3,15.1,17.9,21.5,25.5,29.6,32.6,32.3,29,23.3,16.6,12.1
19374,"TWENTYNINE-PALMS",-116.166,34.3,626,9.6,12.1,14.5,18.4,23.1,28,31.3,30.3,26.5,20.5,13.6,9.5
19384,"BORREGO-DESERT-PARK",-116.4,33.25,245,13.3,15.4,17.3,20.4,24.6,29.5,32.9,32.4,29.1,24.1,17.8,13.5
19388,"CAMPO",-116.466,32.633,802,8.7,9.3,10,12.1,15,18.7,22.8,22.9,20.2,16,11.4,8.7
19390,"PALM-SPRINGS-RGNL",-116.5,33.833,130,13.6,16,17.9,21.4,25.5,29.8,33.3,32.7,29.4,24.2,17.6,13.4
19394,"IDYLLWILD-FIRE-DEPT",-116.716,33.75,1640,4.9,5.4,5.9,8.6,12.1,16.7,20.4,19.8,17,12.7,7.8,5.2
19397,"ALPINE",-116.766,32.833,529,12,13,13.2,15.3,17.4,20.8,24.3,24.5,23,19.5,14.9,12
19398,NA,-116.766,33.233,823,6.9,8.1,9.1,11.3,14.3,18.4,22.4,22.6,19.4,14.9,10,6.8
19399,"EL-CAPITAN-DAM",-116.816,32.883,183,12.8,13.6,14.1,16.1,18.2,21.1,24,24.7,23.3,20.3,16.1,13.1
19400,"PALOMAR-MT-OBSERVATORY",-116.866,33.35,1692,5.9,6.5,7.2,10,13.7,19.1,22.6,22.3,19.4,14.6,9.4,6.1
19402,"BIG-BEAR-LAKE",-116.883,34.25,2070,0.7,1.6,2.7,5.7,9.8,14.3,17.5,16.9,13.7,9.1,4.2,1.1
19406,"BEAUMONT",-116.966,33.933,792,10.1,11.1,11.8,14.1,17.6,21.6,25.4,25.3,22.7,18.5,13.3,10.3
19408,"LA-MESA",-117.016,32.766,162,13.7,14.3,14.7,16.3,17.7,19.8,22.5,23.3,22.4,19.9,16.2,13.7
19417,NA,-117.183,34.25,1586,2.9,4.1,5.5,8.3,12.1,16.8,20.5,20.1,17.2,12.1,6.3,3.1
19418,"VISTA-2-NNE",-117.233,33.233,155,12.9,13.4,13.5,15.1,16.8,18.9,21.4,22.2,21.3,19,15.5,13.1
19422,"VICTORVILLE-PUMP-PLANT",-117.3,34.533,871,6.8,8.9,10.8,14,18.2,22.7,26.3,25.8,22.3,16.9,10.9,6.8
